-17.89577,-6.717385,RoadMap
-5.295774,-6.717385,RoadMap
0.4042263,-5.817386,RoadMap
6.404226,-5.817386,RoadMap
-18.19577,-0.7173853,RoadMap
-11.89577,-0.7173853,RoadMap
-5.595774,-0.7173853,RoadMap
0.4042263,-0.4173851,RoadMap
6.404226,-0.4173851,RoadMap
-18.19577,5.582615,RoadMap
-11.89577,5.582615,RoadMap
-5.595774,5.582615,RoadMap
0.4042263,5.882615,RoadMap
6.404226,5.882615,RoadMap
-18.19577,11.88262,RoadMap
-11.59577,11.88262,RoadMap
-5.295774,11.88262,RoadMap
5.954227,-6.717385,RoadMap
-11.74577,-6.117385,RoadMap
0.4042263,11.73262,RoadMap
6.404226,11.73262,RoadMap
0.4417267,-0.3611351,RoadMap
6.329226,-0.3798851,RoadMap
0.4417267,5.938865,RoadMap
6.329226,5.920115,RoadMap
-17.97078,11.73262,RoadMap
-11.55827,11.80762,RoadMap
-5.258274,11.80762,RoadMap
-18.04577,-0.4361351,RoadMap
-11.80202,-0.3798851,RoadMap
-5.502024,-0.3798851,RoadMap
-18.04577,5.863865,RoadMap
-11.80202,5.920115,RoadMap
-5.502024,5.920115,RoadMap
0.6292267,-6.717385,RoadMap
-11.29577,-6.717385,RoadMap
-19.02151,-7.843121,Corner
7.129961,-7.843121,Corner
7.129961,12.68335,Corner
-19.02151,12.68335,Corner
-,-
1,29
1,36
1,37
2,31
2,35
2,36
3,22
3,35
4,23
4,18
5,29
6,30
7,31
8,22
9,23
10,32
11,33
12,34
13,24
14,25
15,26
15,40
16,27
17,28
18,35
18,38
19,30
19,36
20,24
20,28
20,21
21,25
21,39
22,24
22,31
22,23
23,25
24,34
24,25
26,27
26,32
27,28
27,33
28,34
29,30
29,32
30,31
30,33
31,34
32,33
33,34
