-3.4055,-3.91403,RoadMap
13.6945,2.385971,RoadMap
-20.2055,7.785972,RoadMap
13.5445,-9.61403,RoadMap
-20.0555,-9.01403,RoadMap
-20.0555,-4.81403,RoadMap
-20.0555,-2.714029,RoadMap
-4.005499,2.235971,RoadMap
-2.505499,2.235971,RoadMap
13.0945,7.935971,RoadMap
-4.3055,13.03597,RoadMap
-2.2055,13.03597,RoadMap
-3.2555,-9.31403,RoadMap
13.3945,-3.76403,RoadMap
-19.9055,2.235971,RoadMap
13.6195,2.42347,RoadMap
-3.2555,2.695345,RoadMap
-3.2555,8.067221,RoadMap
13.6945,8.348471,RoadMap
-3.2555,12.58597,RoadMap
13.6945,12.73597,RoadMap
-3.31175,-3.57653,RoadMap
-20.0555,8.067221,RoadMap
-19.9805,13.03597,RoadMap
-19.6055,-3.76403,RoadMap
-19.9055,-9.61403,RoadMap
-20.73124,-10.43976,Corner
14.42023,-10.43976,Corner
14.42023,13.71171,Corner
-20.73124,13.71171,Corner
-,-
1,22
2,16
3,23
4,13
4,14
4,28
5,6
5,26
6,25
7,25
7,15
8,15
8,17
9,16
9,17
10,19
10,18
11,24
11,20
12,20
12,21
13,22
13,26
14,22
14,16
15,23
16,19
17,22
17,18
18,20
18,23
19,21
21,29
22,25
23,24
24,30
26,27
